Datetime,Price,Quantity
Buy,2024-12-06 18:07:03.642,11.528,101261.3
Sell,2024-12-06 18:07:03.926,1.45,101261.3
Sell,2024-12-06 18:07:04.268,6.243,101261.3
Sell,2024-12-06 18:07:04.269,1.709,101261.0
Buy,2024-12-06 18:07:07.409,1.478,101212.1
Buy,2024-12-06 18:07:07.829,2.385,101218.1
Buy,2024-12-06 18:07:07.829,1.333,101235.4
Buy,2024-12-06 18:07:07.829,1.106,101240.2
Buy,2024-12-06 18:07:07.830,2.93,101245.2
Buy,2024-12-06 18:07:07.830,1.99,101245.3
Buy,2024-12-06 18:07:07.830,1.039,101249.8
Buy,2024-12-06 18:07:07.830,1.456,101250.3
Buy,2024-12-06 18:07:07.830,2.937,101255.4
Buy,2024-12-06 18:07:07.830,1.5,101255.5
Buy,2024-12-06 18:07:07.830,1.434,101259.6
Buy,2024-12-06 18:07:07.830,1.631,101260.5
Buy,2024-12-06 18:07:07.830,3.807,101265.8
Buy,2024-12-06 18:07:07.830,1.779,101265.9
Buy,2024-12-06 18:07:07.830,1.642,101268.3
Buy,2024-12-06 18:07:07.830,2.941,101270.0
Buy,2024-12-06 18:07:07.830,1.987,101270.5
Buy,2024-12-06 18:07:07.830,3.382,101270.7
Buy,2024-12-06 18:07:07.831,1.5,101280.6
Buy,2024-12-06 18:07:07.831,2.207,101281.5
Buy,2024-12-06 18:07:07.831,1.532,101282.5
Buy,2024-12-06 18:07:07.831,1.529,101284.0
Buy,2024-12-06 18:07:07.831,1.492,101285.0
Buy,2024-12-06 18:07:07.831,1.578,101285.9
Buy,2024-12-06 18:07:07.831,1.559,101287.5
Buy,2024-12-06 18:07:07.831,1.287,101289.9
Buy,2024-12-06 18:07:07.831,1.026,101290.0
Buy,2024-12-06 18:07:07.831,2.04,101291.8
Buy,2024-12-06 18:07:07.831,1.554,101291.9
Buy,2024-12-06 18:07:07.831,1.425,101294.9
Buy,2024-12-06 18:07:07.831,3.511,101297.6
Buy,2024-12-06 18:07:07.831,12.194,101300.0
Sell,2024-12-06 18:07:07.911,1.202,101300.0
Sell,2024-12-06 18:07:07.914,20.752,101300.0
Sell,2024-12-06 18:07:07.938,5.84,101300.0
Sell,2024-12-06 18:07:07.963,11.92,101300.0
Sell,2024-12-06 18:07:07.996,14.159,101300.0
Sell,2024-12-06 18:07:08.019,2.865,101300.0
Sell,2024-12-06 18:07:08.023,4.113,101300.0
Sell,2024-12-06 18:07:08.047,2.928,101300.0
Buy,2024-12-06 18:07:08.906,1.291,101277.5
Buy,2024-12-06 18:07:11.167,2.944,101281.8
Buy,2024-12-06 18:07:11.167,1.582,101290.6
Buy,2024-12-06 18:07:11.167,1.5,101293.7
Buy,2024-12-06 18:07:11.167,2.851,101295.1
Buy,2024-12-06 18:07:11.167,2.059,101295.2
Buy,2024-12-06 18:07:11.167,1.658,101298.9
Buy,2024-12-06 18:07:11.167,1.994,101300.0
Sell,2024-12-06 18:07:11.640,1.931,101300.0
Sell,2024-12-06 18:07:37.961,50.18,101500.0
Sell,2024-12-06 18:07:45.192,10.291,101450.0
Sell,2024-12-06 18:07:46.169,11.531,101450.0
Sell,2024-12-06 18:07:46.180,17.076,101449.2
Sell,2024-12-06 18:08:01.892,18.933,101500.0
Sell,2024-12-06 18:08:20.023,20.778,101500.0
Sell,2024-12-06 18:08:26.442,11.955,101503.7
Sell,2024-12-06 18:08:26.500,10.52,101458.9
Sell,2024-12-06 18:09:10.450,40.064,101500.0
Buy,2024-12-06 18:09:14.256,51.256,101503.2
Sell,2024-12-06 18:09:19.691,49.342,101500.0
Sell,2024-12-06 18:09:39.511,22.366,101471.6
Sell,2024-12-06 18:10:46.483,12.131,101499.7
Buy,2024-12-06 18:11:42.727,18.079,101600.0
Sell,2024-12-06 18:11:43.146,33.118,101600.0
Buy,2024-12-06 18:11:47.192,14.781,101637.2
Buy,2024-12-06 18:11:47.302,11.927,101650.0
Buy,2024-12-06 18:12:02.060,12.951,101680.0
Sell,2024-12-06 18:12:09.525,13.357,101646.0
Sell,2024-12-06 18:12:11.590,10.213,101579.8
Sell,2024-12-06 18:12:26.081,27.093,101600.0
Sell,2024-12-06 18:12:33.715,31.938,101600.0
Sell,2024-12-06 18:13:09.469,17.303,101500.0
Sell,2024-12-06 18:13:28.715,11.926,101354.9
Sell,2024-12-06 18:13:30.871,11.576,101400.0
Sell,2024-12-06 18:13:37.166,25.993,101400.0
Sell,2024-12-06 18:14:41.776,126.667,101600.0
Buy,2024-12-06 18:15:08.254,10.488,101650.0
Buy,2024-12-06 18:15:37.559,23.563,101670.0
Sell,2024-12-06 18:16:03.956,12.656,101710.9
Buy,2024-12-06 18:17:40.624,17.545,101800.0
Buy,2024-12-06 18:19:28.625,48.847,101430.0
Sell,2024-12-06 18:21:47.490,12.062,101544.9
Buy,2024-12-06 18:22:07.823,15.04,101600.0
Market Buy,2024-12-06 18:23:03.218,147.976,101600.0
Market Sell,2024-12-06 18:32:15.503,0.003,101585.5
Market Sell,2024-12-06 18:32:15.655,0.05,101585.5
Market Sell,2024-12-06 18:32:16.119,0.209,101585.5
Market Sell,2024-12-06 18:36:06.820,36.642,101250.0
Market Sell,2024-12-06 18:39:29.806,16.937,101100.4
Market Sell,2024-12-06 18:39:29.806,32.248,101100.0
