Price,Quantity,Datetime,Type
101117.6,0.002,2024-12-14 01:17:19,Bid
101117.5,0.171,2024-12-14 01:17:19,Bid
101117.3,0.003,2024-12-14 01:17:19,Bid
101117.2,0.09,2024-12-14 01:17:19,Bid
101117.0,1.038,2024-12-14 01:17:19,Bid
101116.9,0.281,2024-12-14 01:17:19,Bid
101116.8,0.013,2024-12-14 01:17:19,Bid
101116.7,0.16,2024-12-14 01:17:19,Bid
101116.6,0.37,2024-12-14 01:17:19,Bid
101116.5,0.008,2024-12-14 01:17:19,Bid
101116.4,0.001,2024-12-14 01:17:19,Bid
101116.3,0.007,2024-12-14 01:17:19,Bid
101116.2,0.867,2024-12-14 01:17:19,Bid
101116.1,0.111,2024-12-14 01:17:19,Bid
101116.0,0.054,2024-12-14 01:17:19,Bid
101115.9,0.002,2024-12-14 01:17:19,Bid
101115.8,0.448,2024-12-14 01:17:19,Bid
101115.7,0.005,2024-12-14 01:17:19,Bid
101115.5,1.521,2024-12-14 01:17:19,Bid
101115.3,0.015,2024-12-14 01:17:19,Bid
101115.2,0.095,2024-12-14 01:17:19,Bid
101115.1,0.003,2024-12-14 01:17:19,Bid
101115.0,0.02,2024-12-14 01:17:19,Bid
101114.8,0.012,2024-12-14 01:17:19,Bid
101114.6,0.002,2024-12-14 01:17:19,Bid
101114.5,0.583,2024-12-14 01:17:19,Bid
101114.4,0.152,2024-12-14 01:17:19,Bid
101114.2,0.009,2024-12-14 01:17:19,Bid
101114.1,0.204,2024-12-14 01:17:19,Bid
101114.0,0.005,2024-12-14 01:17:19,Bid
101113.8,0.003,2024-12-14 01:17:19,Bid
101113.7,0.459,2024-12-14 01:17:19,Bid
101113.6,0.003,2024-12-14 01:17:19,Bid
101113.5,0.414,2024-12-14 01:17:19,Bid
101113.3,0.002,2024-12-14 01:17:19,Bid
101113.2,0.084,2024-12-14 01:17:19,Bid
101113.1,0.015,2024-12-14 01:17:19,Bid
101113.0,0.012,2024-12-14 01:17:19,Bid
101112.9,0.05,2024-12-14 01:17:19,Bid
101112.8,1.806,2024-12-14 01:17:19,Bid
101112.6,0.001,2024-12-14 01:17:19,Bid
101112.5,1.083,2024-12-14 01:17:19,Bid
101112.4,1.461,2024-12-14 01:17:19,Bid
101112.2,0.017,2024-12-14 01:17:19,Bid
101112.1,0.615,2024-12-14 01:17:19,Bid
101111.9,0.015,2024-12-14 01:17:19,Bid
101111.7,0.204,2024-12-14 01:17:19,Bid
101111.5,0.014,2024-12-14 01:17:19,Bid
101111.4,0.018,2024-12-14 01:17:19,Bid
101111.3,0.004,2024-12-14 01:17:19,Bid
101111.2,0.691,2024-12-14 01:17:19,Bid
101111.1,0.701,2024-12-14 01:17:19,Bid
101111.0,0.465,2024-12-14 01:17:19,Bid
101110.9,0.002,2024-12-14 01:17:19,Bid
101110.7,0.006,2024-12-14 01:17:19,Bid
101110.6,0.018,2024-12-14 01:17:19,Bid
101110.5,0.014,2024-12-14 01:17:19,Bid
101110.4,0.013,2024-12-14 01:17:19,Bid
101110.3,0.018,2024-12-14 01:17:19,Bid
101110.2,0.094,2024-12-14 01:17:19,Bid
101110.1,0.01,2024-12-14 01:17:19,Bid
101110.0,0.005,2024-12-14 01:17:19,Bid
101109.9,0.02,2024-12-14 01:17:19,Bid
101109.8,0.004,2024-12-14 01:17:19,Bid
101109.7,0.007,2024-12-14 01:17:19,Bid
101109.6,0.056,2024-12-14 01:17:19,Bid
101109.5,0.593,2024-12-14 01:17:19,Bid
101109.4,2.001,2024-12-14 01:17:19,Bid
101109.3,0.017,2024-12-14 01:17:19,Bid
101109.1,0.002,2024-12-14 01:17:19,Bid
101109.0,0.412,2024-12-14 01:17:19,Bid
101108.9,0.02,2024-12-14 01:17:19,Bid
101108.8,0.014,2024-12-14 01:17:19,Bid
101108.7,0.001,2024-12-14 01:17:19,Bid
101108.6,0.015,2024-12-14 01:17:19,Bid
101108.5,0.016,2024-12-14 01:17:19,Bid
101108.4,0.013,2024-12-14 01:17:19,Bid
101108.0,0.371,2024-12-14 01:17:19,Bid
